techs,cost_flow_cap_per_distance
HV_station_to_transmission_1,100000000
transmission_1_to_transmission_2,100000000
transmission_4_to_data_center_1,100000000
transmission_3_to_data_center_2,100000000
transmission_2_to_data_center_3,100000000
transmission_1_to_transmission_3,100000000
transmission_3_to_transmission_4,100000000
transmission_3_to_transmission_5,100000000
transmission_5_to_transmission_6,100000000
transmission_6_to_transmission_7,100000000
transmission_7_to_residential_demand,100000000
