nodes,technology,capacity_kw,distance_m,storage_capacity_kwh
,HV_station_to_transmission_1,25800.95327668189,55.690672870643965,
data_center_2,battery,384.4815636350413,,1537.9262545401652
data_center_3,battery,27.5706438078124,,110.2825752312496
HV_station,supply_grid_power,25800.95327668189,,
,transmission_1_to_transmission_2,12015.119691015974,29.00640234804134,
,transmission_1_to_transmission_3,13788.51778135615,130.57960620328663,
,transmission_2_to_data_center_3,12011.613290573145,31.631976438225163,
,transmission_3_to_data_center_2,8096.549471373483,240.44349705329026,
,transmission_3_to_transmission_4,5029.637671586977,352.70487749391947,
,transmission_3_to_transmission_5,1106.7605261501792,589.1759885025078,
,transmission_4_to_data_center_1,5011.788014792004,233.65068939198443,
,transmission_5_to_transmission_6,1100.2127602124237,303.759925239627,
,transmission_6_to_transmission_7,1096.852070887844,640.0208069082363,
,transmission_7_to_residential_demand,1089.8053180375198,547.1773663775728,
